annee,population,naissances,deces,immigration,emigration,age_median,TN,TM,TI,TE,solde_naturel,solde_migratoire,croissance_totale,taux_croissance
1980,24515667,370709,169680,143117,44863,29.1,15.121309977003685,6.921288333701058,5.8377771243180945,1.8299726456555312,201029,98254,299283,
1981,24819915,372139,170535,127238,44863,29.5,14.993564643553373,6.870893796372791,5.126447854474925,1.8075404367823178,201604,82375,283979,1.2410349675576748
1982,25116942,372472,172352,135339,54786,29.8,14.829512286965507,6.861981844764382,5.388354999585539,2.1812368719090087,200120,80553,280673,1.1967285141790462
1983,25366451,373594,176522,101404,59226,30.2,14.727878172630456,6.958876509764807,3.9975635535298175,2.3348161711703384,197072,42178,239250,0.9933892430057822
1984,25607053,374533,174159,88592,57770,30.6,14.6261656895856,6.801212150418089,3.4596718333812175,2.256019074119931,200374,30822,231196,0.9485047790090961
1985,25842116,376265,179085,83925,55202,31.0,14.560146700061248,6.9299665708489195,3.247605575332918,2.136125385398007,197180,28723,225903,0.9179619380644821
1986,26100278,375381,183353,88657,50595,31.4,14.382260602741471,7.024944332010563,3.39678374306971,1.9384850996606244,192028,38062,230090,0.9989971409462006
1987,26446601,373022,182599,130880,47707,31.8,14.104723703435463,6.904441141604549,4.948840117488066,1.8038991097570536,190423,83173,273596,1.3268939127774715
1988,26791747,370033,189917,152211,40978,32.2,13.811454699090731,7.088638154130076,5.68126445804374,1.5295008571109603,180116,111233,291349,1.3050675207751716
1989,27276781,384035,188408,177632,40395,32.5,14.079190649365847,6.907266660241177,6.512205380832877,1.4809298795191412,195627,137237,332864,1.8103858624822111
1990,27691138,403280,192608,203357,39760,32.9,14.563504035117662,6.955582684973076,7.343757414375674,1.4358384259975159,210672,163597,374269,1.5190832085354877
1991,28037420,402929,192439,221382,43692,33.3,14.371115459268363,6.863648652408103,7.895947629988779,1.5583459533723145,210490,177690,388180,1.250515598167179
1992,28371264,403107,196967,244281,45633,33.6,14.20828483355553,6.94248236525521,8.610155684286749,1.608423227107541,206140,198648,404788,1.1907087028692365
1993,28684764,392181,201808,266890,43993,34.0,13.672101328775094,7.03537250646371,9.304242489148594,1.5336713246098173,190373,222897,413270,1.1049913038770454
1994,29000663,386159,206464,235360,49456,34.4,13.315523165797968,7.119285514265656,8.115676527809036,1.7053403227367594,179695,185904,365599,1.1012780164410652
1995,29302311,381998,209389,220738,52069,34.8,13.036446169723611,7.145818635260543,7.533125970849193,1.7769588207564926,172609,168669,341278,1.0401417374492405
1996,29610218,372453,209766,217478,48396,35.2,12.578529479249358,7.0842436891211005,7.344694321399457,1.6344357883484681,162687,169082,331769,1.050794253053966
1997,29905948,357313,217221,224857,52815,35.6,11.947890767415231,7.2634714672813585,7.518805289168562,1.7660366426103595,140092,172042,312134,0.9987430690310939
1998,30155173,345123,217688,194459,51816,36.0,11.444902007360396,7.218927246744696,6.448611652800002,1.7183121449842123,127435,142643,270078,0.8333626474572808
1999,30401286,338295,217632,173194,48008,36.4,11.127654270941038,7.158644538918518,5.696930057498225,1.5791437243806068,120663,125186,245849,0.8161551585195603
2000,30685730,336912,217229,205710,48089,36.8,10.979435718166066,7.079153730414756,6.703767516692612,1.5671453799534831,119683,157621,277304,0.9356314729580761
2001,31020855,327487,219320,252527,47766,37.2,10.556994641185744,7.070082368780615,8.140555764823374,1.5398028197481983,108167,204761,312928,1.092120018001852
2002,31359199,329131,220847,256405,50149,37.6,10.495516801943825,7.042494931072697,8.176388689009563,1.599179877011527,108284,206256,314540,1.0906984994449642
2003,31642461,331640,224254,199170,53890,38.0,10.480853559399188,7.087122585060625,6.294390313066989,1.703091298745695,107386,145280,252666,0.9032820002832453
2004,31938807,339351,229256,239101,58184,38.3,10.62503680866978,7.177976309509619,7.48622201198686,1.8217336671341544,110095,180917,291012,0.9365453590983286
2005,32242732,341833,230211,244599,57633,38.6,10.601862149894743,7.13993466806721,7.586174769557369,1.7874726000265733,111622,186966,298588,0.9515853237724192
2006,32571193,349162,225915,254381,61412,38.9,10.719963496578096,6.936037006688702,7.809999467934748,1.8854697769283426,123247,192969,316216,1.0187133025824302
2007,32888886,363935,234193,238127,66512,39.2,11.065592188193909,7.120733733577963,7.24034860894954,2.022324501960936,129742,171615,301357,0.9753803000092764
2008,33247298,376992,236696,249632,66158,39.4,11.339026708275663,7.119255224890757,7.5083394746845284,1.989875989320997,140296,183474,323770,1.0897663119389334
2009,33630069,383257,237896,245313,61531,39.6,11.396259698426428,7.073907579553286,7.294454257587161,1.829642395321877,145361,183782,329143,1.1512845344605172
2010,34005902,382159,237330,270635,58046,39.8,11.238019800209974,6.97908263100917,7.95847144416284,1.7069389895906892,144829,212589,357418,1.1175504873332187
2011,34339221,378665,245667,259143,61466,40.0,11.027186667979452,7.154122686708589,7.546560243751598,1.7899648917487092,132998,197677,330675,0.9801798523091598
2012,34713395,380335,242669,260043,65393,40.1,10.956433388321713,6.9906443895792965,7.491142828294381,1.8837973064864444,137666,194650,332316,1.0896403270184818
2013,35080992,382609,251865,263115,62129,40.3,10.906447571379966,7.1795290167393215,7.500215501317637,1.7710160533658796,130744,200986,331730,1.0589485701413048
2014,35434066,382877,253122,267936,63722,40.5,10.805336311108073,7.143464709920674,7.561536968407746,1.7983259386602712,129755,204214,333969,1.0064538653867139
2015,35704498,383839,266313,240775,65837,40.6,10.750438222097396,7.458808131121183,6.743548109820785,1.8439413431887488,117526,174938,292464,0.7631977656755495
2016,36110803,384300,262278,323188,67893,40.7,10.642244649059728,7.263145048311443,8.94989790174425,1.8801298880005521,122022,255295,377317,1.1379658663734693
2017,36545075,380554,274517,272694,119964,40.8,10.413277302071483,7.511737217668864,7.4618536150219965,3.282631106927541,106037,152730,258767,1.2026096456509094
2018,37072620,377163,283939,303369,98271,40.7,10.17362678979797,7.6589946974343865,8.183101167384446,2.6507702989429935,93224,205098,298322,1.4435460865793726
2019,37618495,373307,283148,313603,92204,40.7,9.923496407817485,7.52682955551518,8.33640473921139,2.4510284103603825,90159,221399,311558,1.4724478604425606
2020,38028638,371321,297195,284153,77591,40.8,9.764246618561517,7.815031398179446,7.472079331371268,2.040330763357867,74126,206562,280688,1.0902695602256207
2021,38239864,362563,307297,226314,66627,41.0,9.481283720046703,8.036037994277386,5.9182741863307875,1.7423440627299303,55266,159687,214953,0.555439298141569
2022,38950132,364449,324879,493236,99756,40.9,9.356810395405079,8.340895994909593,12.663269023067752,2.5611209738647354,39570,393480,433050,1.8574020033125693
2023,40049088,352676,332449,468913,113291,40.6,8.806093162471015,8.30103796620787,11.708456382327608,2.828803492354183,20227,355622,375849,2.8214435832977447
